Run!	Chạy!
Traffic lights work all the time.	Đèn giao thông hoạt động suốt
Unlike my brother, I cannot swim.	Không giống như anh trai mình, tôi không biết bơi.
Unlike my brother, I cannot swim.	Khác với cậu em trai, tôi không biết bơi.
Vietnamese is very easy to learn.	Tiếng Việt rất dễ học.
We all learned the poem by heart.	Tất cả chúng ta đã học thuốc bài thơ này.
We climbed up the steep mountain.	Chúng tôi trèo lên ngọn nói dốc đứng.
We don't have much choice, do we?	Chúng ta không có nhiều sự lựa chọn, phải không?
We should've done that ourselves.	Chúng ta nên tự mình làm việc đó.
We solved that problem in a week.	Chúng tôi đã giải quyết vấn đề đó trong một tuần.
We solved that problem in a week.	Tụi tao đã giải quyết vấn đề đó trong một tuần.
We're not used this kind of food.	Bọn tớ chả ăn đồ ăn này bao giờ
We've already seen this material.	Chúng tôi đã thấy vật liệu này rồi.
Were you scolded by your teacher?	Bạn bị giáo viên mắng à?
What do you do in your free time?	Bạn làm gì trong thời gian rảnh?
What do you do in your free time?	Bạn làm gì lúc rảnh?
What do you do in your free time?	Mày làm gì khi rảnh rỗi?
What do you do in your free time?	Bạn làm gì khi rảnh rỗi?
What should I do in the meantime?	Tôi nên làm gì trong lúc ấy?
What should I do in the meantime?	Tôi nên làm gì trong khi chờ đợi?
Where is the New Zealand embassy?	Đại sứ quán New Zealand ở đây vậy?
Why don't you go and have a look?	Tại sao bạn không đi xem thử?
Will you show me what you bought?	Ông cho tôi xem ông đã mua gì.
You should get your eyes checked.	Bạn nên đi kiểm tra mắt đi.
You should take the number 5 bus.	Ông hãy lên xe buýt số 5.
Death is an integral part of life.	Cái chết là một phần không thể tách rời của cuộc sống.
Did you dream about me last night?	Tối qua bạn có mơ về tôi không?
Do you know how to tie your shoes?	Bạn có biết buộc dây giày không?
Do you remember when we first met?	Bạn có nhớ lúc chúng ta gặp nhau lần đầu?
Do you remember when we first met?	Em có nhớ khi chúng ta gặp nhau lần đầu?
Do you want me to leave you alone?	Có phải bạn muốn tôi để bạn một mình?
Does somebody here own this watch?	Cái đồng hồ này có thuộc về ai ở đây không?
Don't give up. Stick with the job.	Đừng từ bỏ. Bám lấy công việc đó.
Don't take more than five minutes.	Đừng lâu hơn năm phút.
Fortunately, the weather was good.	May mắn thay, thời tiết rất tốt.
He demanded that we leave at once.	Hắn yêu cầu chúng tôi rời đi cùng một lúc.
He failed to catch the 8:30 train.	Nó đã lỡ chuyến xe lửa 8:30.
He is too tired to go any farther.	Anh ta quá mệt đến nỗi không đi xa hôn được nữa.
He isn't any older than I thought.	Anh ấy không già như tớ nghĩ.
He scooped up sand by the handful.	Anh ấy múc một tay đầy cát.
He was sitting and reading a book.	Nó đang ngồi và đang đọc sách.
He was sitting and reading a book.	Nó đang ngồi và đọc sách.
He was sitting and reading a book.	Ông ấy đang ngồi và đang đọc sách.
His help came in the nick of time.	Sự trợ giúp của anh ấy đến thật đúng lúc.
How did you pay for this computer?	Bạn làm cách nào để trả tiền cho cái máy tính này?
How do I get to the train station?	Làm thế nào tôi có thể đi đến ga xe lửa?
How do I get to the train station?	Tôi có thể đi đến ga xe lửa bằng cách nào?
I almost forgot to do my homework.	Tôi suýt quên làm bài tập.
I am who I am thanks to my mother.	Tôi được như thế này là nhờ mẹ tôi.
I awoke to find a bird in my room.	Tôi tỉnh dậy và thấy một con chim trong phòng.
I believe you'll get over it soon.	Tôi tin rằng bạn sẽ sớm vượt qua nó.
I can't predict what might happen.	Tôi không thể dự đoán cái gì sẽ xảy ra.
I can't predict what might happen.	Tôi không thể biết trước điều gì sẽ xảy ra.
I don't see that there's a choice.	Tôi không thấy có lựa chọn nào ở đây.
I don't want to go to the dentist.	Tôi không muốn đến nha sĩ.
I don't want to talk about it now.	Tôi không muốn nói chuyện về nó ngay lúc này.
I don't want to try anything else.	Tôi không muốn thử cái gì khác nữa.
I don't want to wake my neighbors.	Tôi không muốn đánh thức hàng xóm.
I have no memory of what happened.	Tôi không có ký ức nào về chuyện đã xảy ra.
I hope your wishes will come true.	Hy vọng những ước muốn của bạn sẽ thành sự thật.
I hope your wishes will come true.	Hy vọng những mong ước của bạn sẽ thành sự thật.
I reached the village before dark.	Tôi đã về đến ngôi làng trước khi trời tối.
I should have done this weeks ago.	Tôi nên làm việc này từ vài tuần trước.
I spend most of my time in Boston.	Tôi dành hầu hết thời gian ở Boston.
I thought you were coming with us.	Mình nghĩ cậu đi cùng tụi mình.
I usually get up at eight o'clock.	Tôi thường thức dậy lúc 08:00.
I will have him repair this watch.	Tôi sẽ nhờ nó sửa cái đồng hồ này.
I will have him repair this watch.	Tôi sẽ nhờ ổng sửa cái đồng hồ này.
I will have him repair this watch.	Tôi sẽ nhờ ông ta sửa cái đồng hồ này.
I will have him repair this watch.	Tôi sẽ nhờ ông ấy sửa cái đồng hồ này.
I will have him repair this watch.	Tôi sẽ nhờ anh ta sửa cái đồng hồ này.
I'd like to have cake for dessert.	Tôi muốn ăn tráng miệng bằng bánh ngọt.
I'd like to have cake for dessert.	Tôi muốn dùng bánh ngọt để tráng miệng.
I'm eating dinner with my husband.	Tôi đang ăn tối với chồng.
I'm sorry, but I don't understand.	Rất tiếc, nhưng tôi không hiểu.
Is the post office open on Sunday?	Bưu điện có mở cửa vào Chủ nhật không?
It is better for you to do it now.	Làm điều đó ngay bây giờ thì sẽ tốt hơn cho bạn.
It is impossible for him to do it.	Nó không thể làm điều đó.
It is impossible for him to do it.	Nó không đời nào làm được việc đó.
It looks as if it's going to rain.	Trông như là sắp có mưa.
It sounds like you don't like Tom.	Có vẻ như là cậu không thích Tom.
Maybe I just need some time alone.	Có lẽ tôi chỉ cần ở một mình một lúc.
Not everything is black and white.	Không phải mọi thứ đều trắng và đen.
Not everything is black and white.	Không phải thứ gì cũng có màu trắng đen.
Please explain why you can't come.	Xin vui lòng giải thích tại sao bạn không thể đến.
She doesn't want to talk about it.	Cô ấy không muốn nói về chuyện đấy.
She has no opinion about religion.	Cô ấy chẳng biết gì về tôn giáo.
She just ate sushi and drank beer.	Cô ta mới chỉ ăn Sushi và uống bia thôi.
She went from one shop to another.	Nó đã đi từ cửa hàng này đến cửa hàng khác.
That's the reason we got divorced.	Đó là lý do chúng tôi ly dị.
The president proposed a new plan.	Ngài tổng thống đã đề xuất một chương trình mới.
There is not a drop of water left.	Chẳng còn giọt nước nào còn sót lại.
There is not a drop of water left.	Chẳng còn sót giọt nước nào.
There's enough room for everybody.	Có đủ chỗ cho tất cả mọi người.
They say that he is seriously ill.	Họ nói rằng anh ta đang bị bệnh rất nặng.
They stood on the top of the hill.	Tụi nó dùng lại trên đỉnh đồi.
They stood on the top of the hill.	Tụi nó đã đứng trên đỉnh đồi.
This is how the accident happened.	Đây chính là cách mà vụ tai nạn đã xãy ra.
This isn't what I was thinking of.	Đó không phải là điều tôi đang nghĩ tới.
This work calls for special skill.	Công việc này đòi hỏi kỹ năng đặc biệt.
Tom couldn't control his emotions.	Tom không thể kiềm chế cảm xúc của mình.
Tom couldn't find a place to park.	Tôm không thể tim ra nơi nào để đỗ xe.
Tom doesn't know how to play golf.	Tom không biết chơi gôn.
Tom has a solution for everything.	Tom có giải pháp cho mọi thứ.
Tom is seriously considering that.	Tom đang cân nhắn một cách nghiêm túc.
Tom lives by himself in the woods.	Tom sống một mình trong rừng.
Tom wanted to ask Mary a question.	Tom muốn hỏi Mary vài điều.
Tom went to Paris to study French.	Tom tới Paris để học tiếng Pháp.
We have been here for three weeks.	Chúng tôi đã ở đây được ba tuần rồi.
We have every advantage over them.	Chúng tôi lợi dụng tụi nó mọi thứ.
We have the same group of friends.	Chúng ta có chung nhóm bạn.
We have the same group of friends.	Chúng ta có chung hội bạn.
We have the same group of friends.	Chúng ta có cùng có chung nhóm bạn.
We will vote to decide the winner.	Chúng ta hãy bỏ phiếu để quyết định người thắng cuộc.
We'll settle this when I get back.	Bọn mình sẽ giải quyết việc này khi tớ về.
What do you think I've been doing?	Bạn nghĩ tôi đang làm gì?
What does this machine do exactly?	Chính xác là cái máy này làm được việc gì?
Where is the source of this river?	Con sông này chảy từ đâu?
Who ate the rest of the leftovers?	Ai đã ăn hết chỗ thức ăn thừa vậy?
Why would I ever apologize to Tom?	Tại sao tôi phải xin lỗi Tom?
Why would I ever apologize to Tom?	Sao tôi phải xin lỗi Tom?
Why would I ever apologize to Tom?	Vì sao tôi phải xin lỗi Tom?
You can teach yourself Vietnamese.	Bạn có thể tự học tiếng Việt.
You're going to get yourself shot.	Bạn đang biến mình trở thành bia đỡ đạn đấy.
You're the last hope for humanity.	Cậu là hi vọng cuối cùng của nhân loại.
You've done everything you can do.	Bạn đã làm mọi thứ bạn có thể làm.
Al Gore was born in Washington, DC.	Al Gore được sinh ra ở Washington, D.C.
Are you going to tell me the truth?	Em/Anh có muốn nói hết sự thực cho anh/em không?
Beef stew should be nice and thick.	Bò hầm nên tinh tế và dày.
Can you translate this song for me?	Bạn có thể dịch bài hát này cho tôi không?
Cancer is a great enemy of mankind.	Ung thư là kẻ thù rất lớn của loài người.
Could you call again later, please?	Bạn có thể gọi lại được không?
Did you say that I could never win?	Bạn vừa nói rằng tôi không thể thắng được à?
Do you have a course for beginners?	Bạn có khoá học nào cho người mới bắt đầu không?
Do you think anyone will volunteer?	Bạn có nghĩ rằng ai cũng sẽ tình nguyện?
Don't laugh at a person in trouble.	Đừng cười khi người khác gặp nạn.
Don't underestimate your opponents.	Đừng đánh giá thấp đối thủ của bạn.
Every room was searched thoroughly.	Tất cả các phòng đều bị kiểm tra kỹ lưỡng.
Give the book to whomever wants it.	Bạn hãy cho cuốn sách cho người nào muốn.
Good morning, ladies and gentlemen.	Xin gửi lời chào trân trọng tới tất cả quý ông, quý bà.
Have you stopped beating your wife?	Mày đã hết đánh vợ mày chưa?
Have you stopped beating your wife?	Mày ngưng đánh vợ mày chưa?
Have you stopped beating your wife?	Mày đã ngừng đánh vợ mày rồi hả ?
He changed his name to Tom Jackson.	Anh ấy đổi tên thành Tom Jackson.
He didn't come to the last meeting.	Anh ta đã không đếm bữa tiệc cuối.
He left the house at eight o'clock.	Anh ấy đã ra khỏi nhà lúc 8 giờ.
He left the house at eight o'clock.	Anh ấy đã rời khỏi nhà lúc 8 giờ.
He speaks English better than I do.	Nó nói tiếng Anh tốt hơn tôi.
He speaks English better than I do.	Anh ấy nói tiếng Anh tốt hơn tôi.
He tends to ask a lot of questions.	Anh ấy hay hỏi nhiều lắm.
He warned us not to enter the room.	Anh ta đã cảnh báo chúng tôi đừng vào phòng.
He was the first to enter the room.	Anh ta là người đầu tiên bước vào trong phòng.
I can't tell you how grateful I am.	Tôi biết ơn không sao kể hết.
I canceled an appointment with her.	Tôi đã huỷ cuộc hẹn với cô ấy.
I didn't know you collected stamps.	Trước đây tôi không biết bạn sưu tập tem.
I didn't want you to miss your bus.	Tôi không muốn bạn lỡ chuyến xe bus.
I don't think we can afford it now.	Tôi không nghĩ hiện tại mình đủ khả năng chi trả cho nó.
I don't understand why Tom is here.	Tôi không hiểu sao Tom lại ở đây.
I don't want to live in a big city.	Tôi không muốn sống trong một thành phố lớn.
I have a friend who works for NASA.	Tôi có hai người bạn làm việc cho NASA.
I haven't talked to you in a while.	Lâu rồi tôi không nói chuyện với bạn.
I hear you've got a new girlfriend.	Tao nghe nói máy có bạn gái mới.
I hear you've got a new girlfriend.	Tôi nghe nói anh có bạn gái mới.
I hear you've got a new girlfriend.	Em nghe nói anh có bạn gái mới.
I heard my name called from behind.	tôi nghe thấy tên tôi được gọi ở phía sau.
I need to leave before Tom arrives.	Mình cần phải đi trước khi Tom tới.
I opened the box and looked inside.	Tôi mở hộp và nhìn vào bên trong.
I promise I'll never do that again.	Tôi hứa là sẽ không tái phạm nữa.
I should get back to the hotel now.	Tới lúc tôi nên quay lại khách sạn rồi.
I think I should've asked for help.	Tôi nghĩ rằng đáng lẽ tôi nên nhờ giúp đỡ mới phải.
I think I'm starting to understand.	Tôi nghĩ tôi bắt đầu hiểu rồi.
I thought you lived on Park Street.	Tôi tưởng cậu ở phố Park cơ.
I'd love to see inside Tom's house.	Tôi rất mong được thấy bên trong căn nhà của Tom.
If I don't do it now, I never will.	Nếu tôi không làm bay giờ thì tôi sẽ không bao giờ làm hết.
If I had money, I'd buy a computer.	Nếu tôi có tiền, tôi sẽ mua máy vi tính.
Is it all right to eat out tonight?	Ra ngoài ăn tối hôm nay liệu có ổn không?
It seems my dreams never come true.	Dường như giấc mơ của tôi chẳng bao giờ thành hiện thực.
It was a pleasure to work with Tom.	Rất vui vì đã được làm việc với Tom.
It's difficult to remember details.	Thật khó để mà nhớ được những chi tiết nhỏ nhặt.
Let's pick flowers from the garden.	Hãy đi hái hoa trong vườn nào.
Mary is very good at belly dancing.	Mary múa bụng rất giỏi.
Mary placed her purse on the table.	Mary đã để cái ví ở trên bàn.
My aunt sent me a birthday present.	Dì đã gửi cho tôi một món quà sinh nhật.
My family goes skiing every winter.	Mùa đông nào gia đình tôi cũng đi trượt tuyết.
My heart was filled with happiness.	Tim tôi tràn ngập hạnh phúc.
Nobody cares about this except you.	Không ai quan tâm đến điều đó trừ cậu ra.
Plants take in water from the soil.	Thực vật lấy nước từ đất.
She is a fluent speaker of English.	Cô ấy là một người nói tiếng Anh nhuần nhuyễn.
She is a fluent speaker of English.	Cô ấy là một người nói tiếng Anh thông thạo.
She is learning how to drive a car.	Cô ấy đang học cách lái xe.
She parked her car in a vacant lot.	Cô ấy đỗ xe vào chỗ trống.
That movie was shown on television.	Phim này đã được phát trên truyền hình.
That's the way the cookie crumbles.	Bánh quy vỡ ra nhưng thế này nè.
That's what happened the last time.	Chuyện lần trước nó là như vậy đấy.
The baby is sleeping in the cradle.	Em bé đang ngủ ở trong cũi.
The roof leaks every time it rains.	Mái dột mỗi khi trời mưa.
The school is two kilometers ahead.	Ngôi trường ở phía trước 2 cây số.
The word "theory" is often misused.	Từ "giả thuyết" rất hay bị lạm dụng.
There was little water in the well.	Có một ít nước trong giếng.
This fruit has an unpleasant smell.	Loại trái cây này có mùi khó ngửi.
This is the second time I've flown.	Đây là lần thứ hai tôi bay.
Those are the leftovers from lunch.	Đó là phần thức ăn thừa bữa trưa.
To tell the truth, she is my niece.	Nói thiệt nha, nó là cháu gái của tôi đó.
Tom accompanied Mary on the guitar.	Tom phụ họa với Mary bằng đàn ghi-ta.
Tom asked Mary if she trusted John.	Tom hỏi Mary liệu cô có tin tưởng John.
Tom clearly isn't happy to be here.	Tom rõ ràng là không vui khi ở đây.
Tom didn't know anyone in the room.	Tom không biết có ai trong phòng
Tom didn't mean to make Mary angry.	Tom không có ý làm cho Mary giận giữ.
Tom didn't want to be sent to jail.	Tom không muốn vào tù.
Tom didn't want to speak with Mary.	Tom không muốn nói chuyện với Mary
Tom doesn't know how to milk a cow.	Tom không biết làm thế nào để vắt sữa con bò
Tom doesn't like driving in Boston.	Tom không thích lái xe ở Bonstom
Tom has been avoiding Mary all day.	Tom đã cố gắng tránh Mary suốt ngày.
Tom left his umbrella on the train.	Tom bỏ quên dù của nó trên xe lửa.
Tom left his umbrella on the train.	Tom bỏ quên dù của nó trên tàu hỏa.
Tom left his umbrella on the train.	Tom bỏ quên dù của nó trên tàu lửa.
Tom left his umbrella on the train.	Tom bỏ quên dù của anh ấy trên tàu hỏa.
Tom never wanted to live in Boston.	Tom đã không hề muốn sống ở Boston.
Tom said he didn't know the answer.	Tom nói là anh ta không biết đáp án.
Tom studied the document carefully.	Tom nghiên cứu tài liệu một cách cẩn thận.
Tom told me that he likes swimming.	Tom bảo tôi rằng cậu ấy thích bơi lội.
We should leave while we still can.	Chúng ta nên đi khi còn có thể.
We weren't given any food or water.	Bọn mình không nhận được đồ ăn hay nước uống.
We're not going to let Tom do that.	Bọn mình không thể để Tom làm việc đó.
We've had a lot of rain this month.	Trời mưa rất nhiều trong tháng này.
What would you recommend that I do?	Cậu khuyên tớ nên làm gì?
What's your favorite national park?	Công viên quốc gia nào bạn thích nhất?
When was the last time you saw him?	Lần cuối bạn nhìn thấy anh ta là khi nào?
Where do I get on the number 7 bus?	Tôi lên xe buýt số 7 ở đâu được?
You don't have all the information.	Bạn không có tất cả dữ kiện.
You have to learn standard English.	Bạn phải học tiếng Anh tiêu chuẩn.
You have to learn standard English.	Bạn phải học tiếng Anh chuẩn.
A friend in need is a friend indeed.	Một người bạn có mặt lúc ta cần là một người bạn thực sự
All the students attended the party.	Tất cả học sinh/sinh viên đã tham dự buổi tiệc.
Are you saying my life is in danger?	Cậu nói rằng tôi đang gặp nguy hiểm đến tính mạng sao?
Aren't you supposed to be at school?	Giờ này sao không ở trường?
At least tell me where you're going.	Ít nhất bạn cũng phải cho tôi biết bạn định đi đâu.
Can you come to the office by train?	Bạn có thể đến văn phòng bằng xe hỏa không?
Can you spell your last name for me?	Bạn có thể đánh vần họ của bạn dùm tôi?
Could you please turn down the heat?	Bạn có thể vui lòng giảm nhiệt độ xuống không?
Do you have a lot of money with you?	Cậu mang theo nhiều tiền chứ?
Do you know the town where he lives?	Bạn có biết thị trấn nơi anh ấy ở không?
Do you think you're smarter than me?	Cậu nghĩ mình thông minh hơn tớ á?
Don't forget to call me up tomorrow.	Đừng quên gọi tôi dậy vào ngày mai.
From there, one could see perfectly.	Có một điểm nhìn hoàn hảo ở đằng đó.
He has decided to carry on the work.	Anh quyết định tiếp tục công việc.
He is not too poor to buy a bicycle.	Anh ấy không nghèo tới mức không mua nổi một chiếc xe đạp.
He is short, but good at basketball.	Nó tuy lùn nhưng chơi bóng rổ rất giỏi.
He is short, but good at basketball.	Nó lùn nhưng rất giỏi môn bóng rổ.
He promised not to tell another lie.	Nó đã hứa không nói dối nữa.
He was looking through a microscope.	Anh ta nhìn bằng kính hiển vi.
He was thrown in prison for robbery.	Anh ta bị bỏ tù vì ăn trộm.
How many hours of sleep do you need?	Bạn cần bao nhiêu tiếng đồng hồ để ngủ vậy?
I dedicate this book to my daughter.	Tôi dành tặng cuốn sách này cho con gái tôi.
I don't want to discuss my problems.	Tớ không muốn nói về vấn đề của mình.
I finally came up with a great idea.	Cuối cùng tôi cũng tìm được một ý tưởng tuyệt vời.
I have been on a diet for two weeks.	Tôi đã ăn kiêng hai tuần nay rồi.
I skip ads on videos whenever I can.	Tôi bỏ qua quảng cáo trên video bất cứ khi nào có thể.
I'm also thinking of going to Korea.	Tôi cũng đang cân nhắc việc đi Hàn Quốc.
I'm going to do what I've been told.	Tôi sẽ làm những điều mà tôi đã nói.
I'm not as stupid as you think I am.	Tôi không có ngốc như bạn tưởng đâu.
I'm trying to find a picture of Tom.	Tôi đang cố gắng tìm một bức ảnh của Tom.
Is it comfortable to travel by ship?	Đi thuyền có thoải mái không?
Is it possible to see Venus tonight?	Tôi nay có thể thấy sao Vệ Nữ không?
Is your house far from your company?	Nhà của bạn có xa công ty (của bạn) không?
It is up to us to help those people.	Tùy chúng tôi giúp đỡ những người đó.
May I direct your attention to this?	Xin làm ơn chú ý.
My mother carefully opened the door.	Mẹ tôi cẩn thận mở cửa.
She came to Japan to study Japanese.	Cô ấy đến Nhật để học Nhật ngữ.
She doesn't have a driver's license.	Chị ấy không có bằng lái xe.
She was named after her grandmother.	Cô ta được đặt tên theo tên bà mình.
Steven Spielberg is a film director.	Steven Spielberg là một đạo diễn.
The company wants to hire 20 people.	Công ty muốn thuê 20 người.
The jets took off one after another.	Máy bay phản lực lần lượt cất cánh.
The police officer blew his whistle.	Cảnh sát thổi còi.
The president has abolished slavery.	Tổng thống đã bỏ chế độ sở hữu nô lệ.
The situation seemed out of control.	Tình hình có vẻ mất kiểm soát.
There won't be so many people there.	Sẽ không có nhiều người ở đó.
This flashlight needs two batteries.	Cái đèn pin này cần hai cục pin.
Tom and I were meant for each other.	Tôi và Tom đã từng là thứ gì đó của nhau.
Tom assumed that Mary would be late.	Tom đoán là Mary sẽ tới muộn.
Tom can speak English like a native.	Tom có thể nói tiếng anh như người bản ngữ.
Tom doesn't like milk in his coffee.	Tom không thích bỏ sữa vào cà phê.
Tom doesn't trust a thing Mary says.	Tom không tin bất cứ điều gì Mary nói.
Tom has a drawer full of USB cables.	Tom có một ngăn tủ đầy cáp USB.
Tom has red spots all over his body.	Tom nổi những đốm đỏ khắp người.
Tom hurt his knee when he fell down.	Tom đã bị thương ở đầu gối khi nó té xuống.
Tom is starting to get on my nerves.	Tom bắt đầu làm tôi thấy khó chịu.
Tom is still on the phone with Mary.	Tom vẫn còn nói chuyện điện thoại với Mary.
Tom is the person I was waiting for.	Lúc đó tôi đang đợi Tom.
Tom kissed Mary and she slapped him.	Tom đã hôn Mary và cô tát anh ta.
Tom lacks the talent to be an actor.	Tom thiếu tài năng để trở thành một diễn viên.
Tom lived in Boston three years ago.	Tom từng sống ở Boston ba năm về trước.
Tom looks funny wearing those shoes.	Tom đi đôi giày đó trông thật buồn cười.
Tom opened the conference room door.	Tom mở cửa phòng họp.
Tom reminded Mary about the meeting.	Tom đã nhắc nhở Mary về cuộc họp
Tom tries to avoid traveling by air.	Tom cố tránh di chuyển bằng đường hàng không.
Twenty teams entered the tournament.	Hai mươi đội bước vào giải đấu.
We can't sleep because of the noise.	Chúng tôi không ngủ được vì ồn quá.
We heard what sounded like gunshots.	Chúng tôi nghe thấy như những tiếng súng nổ.
We've spent a lot of time in Boston.	Bọn tôi ở Boston khá lâu.
Would you like to have another beer?	Ông có muốn uống thêm bia không?
You have no idea what you've missed.	Cậu không biết mình bỏ lỡ thứ gì đâu.
You may have read this book already.	Có thể bạn đã đọc cuốn này rồi.
You must keep the promises you make.	Bạn phải giữ lời hứa.
You've told me that a hundred times.	Bạn đã nói với tôi điều đó mấy trăm lần rồi.
All you have to do is to work harder.	Những gì bạn phải làm là làm việc chăm chỉ hơn.
Can you tell me where Main Street is?	Bạn có thể cho tôi biết đường lớn ở đâu không?
Compared with yours, my car is small.	So với chiếc xe của anh, xe tôi nhỏ hơn.
Could I have one more coffee, please?	Cho tôi xin thêm một ít cà phê được không?
Do you think you might recognize Tom?	Cậu có nghĩ cậu nhận ra Tom không?
Has this ever happened to you before?	Việc này đã từng xảy ra với bạn trước đây chưa?
Have you ever read any Chinese poems?	Bạn đã từng đọc thơ Trung Quốc nào chưa?
He is too young to go swimming alone.	Cháu nó còn nhỏ quá không đi bơi một mình được.
He lent me the money quite willingly.	Anh ta rất sẵn lòng cho tôi vay tiền.
He reluctantly agreed to my proposal.	Anh ta miễn cưỡng đồng ý với đề nghị của tôi.
He was born in a small town in Italy.	Anh ấy được sinh ra trong một thị trấn nhỏ ở Ý.
How do you feel about his suggestion?	Bạn thấy lời gợi ý của anh ta thế nào?
How much money does Tom make a month?	Tom kiếm được bao nhiêu tiền trong một tháng?
I am getting off at the next station.	Tôi sẽ xuống ở chặng đỗ tới.
I am looking for a job near my house.	Tôi đang tìm kiếm một công việc gần nhà.
I awoke to find a burglar in my room.	Tôi tỉnh dậy và thấy một tên trộm trong phòng mình.
I can't eat or drink very hot things.	Tôi không thể ăn hay uống những thức ăn rất nóng.
I can't go to school today. I'm sick.	Tôi không thể đến trường ngày hôm nay. Tôi đang bị ốm.
I did everything I could to save Tom.	Tớ đã làm tất cả những gì có thể để cứu Tom.
I don't know how to thank you enough.	Tôi không biết làm thế nào để cảm ơn bạn đủ.
I don't know which of you is crazier.	Tôi không biết ai trong số các bạn điên rồ hơn.
I don't remember anything about that.	Tôi không nhớ gì về điều đó.
I had no notion that you were coming.	Tôi không hề biết là anh sẽ đến.
I have never read such a scary novel.	Tôi chưa từng đọc cuốn tiểu thuyết nào đáng sợ như vậy.
I made Tom leave his suitcase behind.	Tôi đã khiến cho Tom bỏ vali của nó lại.
I made Tom leave his suitcase behind.	Tao đã khiến cho Tom bỏ vali của nó lại.
I made Tom leave his suitcase behind.	Tôi đã khiến cho Tom để vali của nó lại.
I meant to call her, but I forgot to.	Tôi định gọi cho cô ấy mà lại quên mất.
I pretended that it didn't bother me.	Tôi giả vờ rằng điều đó chẳng ảnh hưởng gì đến mình.
I started learning Chinese last week.	Tuần trước tôi mới bắt đầu học tiếng Trung quốc.
I thought you wanted me to handle it.	Tôi đã nghĩ là bạn muốn tôi đưa cái đó cho bạn.
I want to hear the rest of the story.	Tôi muốn nghe toàn bộ câu chuyện.
I want to hear the rest of the story.	Tớ muốn nghe toàn bộ câu chuyện.
I want to hear the rest of the story.	Mình muốn nghe toàn bộ câu chuyện.
I want to hear the rest of the story.	Tao muốn nghe toàn bộ câu chuyện.
I would never have agreed to do that.	Mình sẽ không bao giờ đồng ý làm việc đó.
I'd love to find out why she said so.	Tôi rất muốn tìm hiểu lý do tại sao cô ấy nói vậy
I'll explain everything to you later.	Tôi sẽ giải thích mọi thứ cho bạn sau.
I'll pay you at the end of the month.	Tôi sẽ trả lương cho cậu vào cuối tháng.
I'll pick you up tomorrow after work.	Tôi sẽ đón bạn vào ngày mai sau khi xong việc.
I'm afraid you don't have any choice.	Tôi e rằng bạn không còn lựa chọn nào khác.
I'm not even going to let Tom see it.	Tôi không định cho Tom thấy thứ này.
I'm not going to tell you what to do.	Tôi sẽ không nói cho bạn biết phải làm gì.
I'm sure Tom didn't want to be alone.	Tôi chắc rằng Tom không muốn ở một mình.
I'm sure Tom didn't want to be alone.	Tôi chắc rằng Tom không muốn trở nên cô đơn.
If possible, I'd like to go home now.	Nếu có thể, tôi muốn được về nhà ngay bây giowf.
If you are hungry, why don't you eat?	Nếu ấy đói thì sao không ăn đi?
It's not always easy to stay healthy.	Không phải dễ để có sức khỏe tốt.
It's pretty clear you have a problem.	Rõ ràng là cậu có vấn đề.
Let's help them solve their problems.	Chúng ta hãy giúp họ giải quyết vấn đề.
Look what I got Tom for his birthday.	Xem mình có gì cho Tom nhân ngày sinh nhật này.
My younger brother is still sleeping.	Em trai tôi vẫn đang ngủ.
Please fill in this application form.	Xin điền vào đơn này.
Please fill in this application form.	Xin điền vào mẫu đơn này.
She argued with him and then hit him.	Cô ta gây sự rồi đánh anh ấy.
She is always complaining of her job.	Cô ta luôn phàn nàn về công việc của mình.
She's studying French and web design.	Cô ấy học tiếng Pháp và thiết kế web.
Take the leftover food home with you.	Bạn hãy mang đồ ăn dư về nhà
The boy tried eating with chopsticks.	Cậu bé thử ăn bằng đũa.
The concert lasted about three hours.	Buổi hoà nhạc kéo dài 3 tiếng đồng hồ.
The defendant was sentenced to death.	Bị can đã bị tuyên án tử hình.
The television is in the living room.	Cái ti vi được đặt ở phòng khách.
The world doesn't revolve around you.	Thế giới không quay quanh bạn.
The world doesn't revolve around you.	Thế giới không quay quanh mày.
Their company created forty new jobs.	Công ty của họ đã tạo ra thêm bốn mươi chỗ làm.
Their losses reached one million yen.	Chúng nó lỗ tới một triệu yên lận.
There are many careers open to women.	Có rất nhiều công việc rộng mở dành cho phụ nữ.
Those hens lay eggs almost every day.	Mấy con gà đó hầu như ngày nào cũng đẻ trứng.
Tom and I are both very proud of you.	Cả Tom và tôi đều rất tự hào về bạn.
Tom can speak French better than you.	Tom nói tiếng Pháp tốt hơn cậu.
Tom chased the cats out of his house.	Tom đuổi bọn mèo ra khỏi nhà anh ta.
Tom doesn't get out of the city much.	Tôi không rời khỏi thành phố nhiều lắm.
Tom is really conservative, isn't he?	Tom là một người bảo thủ, phải không?
Tom is still young and inexperienced.	Tom vẫn còn trẻ và thiếu kinh nghiệm.
Tom is the smartest one in our class.	Tom là người thông minh nhất trong lớp của chúng tôi.
Tom is three years younger than Mary.	Tom nhỏ hơn Mary 3 tuổi.
Tom is three years younger than Mary.	Tom nhỏ hơn Mary 3 năm.
Tom is three years younger than Mary.	Tom trẻ hơn Mary 3 tuổi.
Tom isn't going to hurt anybody else.	Tom sẽ không làm tổn thương bất cứ người khác.
Tom noticed the door was half closed.	Tom để ý thấy cánh cửa chỉ khép hờ.
